#          k1           k2           k3            1           b1           b2           b4       b1*b11        b1*b1        b1*b2        b1*b4     b1*b1*b1     b1*b1*b2     b1*b1*b4        b8*b8
         0.13        0.105        0.105       704245  2.28884e+07  1.47118e+07   1.8452e+07  5.74615e+06  1.24202e+08  1.26255e+08  1.60294e+08   1.9394e+08  2.49001e+08  3.16134e+08      69272.1
         0.13        0.125        0.005  2.15998e+07  1.19044e+08  7.88351e+07  7.88351e+07  9.55487e+06  2.42387e+08  3.45509e+08  3.45509e+08  2.23535e+08  6.81415e+08  6.81415e+08      69272.1
         0.13        0.125        0.025   2.8001e+06  5.34098e+07  3.62137e+07  4.64284e+07  1.24752e+07  2.35204e+08  3.66537e+08   4.8883e+08  3.27935e+08  7.22887e+08  9.64073e+08      69272.1
         0.13        0.125        0.045  1.38711e+06  3.57386e+07  2.45286e+07  3.09078e+07   8.8652e+06  1.77212e+08  2.36147e+08  3.11662e+08  2.67142e+08   4.6573e+08  6.14662e+08      69272.1
         0.13        0.125        0.065       998936  2.98496e+07  2.03271e+07  2.55686e+07  7.52174e+06  1.58079e+08  1.88443e+08   2.4573e+08   2.4542e+08  3.71648e+08  4.84631e+08      69272.1
         0.13        0.125        0.085       693691  2.40212e+07  1.63979e+07  2.06518e+07  6.35661e+06  1.33797e+08  1.46533e+08   1.8855e+08  2.11329e+08  2.88993e+08  3.71859e+08      69272.1
         0.13        0.125        0.105       471856  1.87602e+07   1.2755e+07   1.6127e+07  5.40497e+06  1.08046e+08  1.11346e+08  1.41846e+08  1.71484e+08  2.19598e+08   2.7975e+08      69272.1
         0.13        0.125        0.125       419451  1.72296e+07  1.12182e+07  1.42723e+07  5.06379e+06  9.88595e+07  9.82944e+07  1.25102e+08  1.54563e+08  1.93857e+08  2.46727e+08      69272.1
         0.13        0.145        0.015  3.28982e+07  1.72677e+08  1.08905e+08  1.08905e+08  1.31086e+07  3.28309e+08  4.77295e+08  4.77295e+08  2.45994e+08  9.41324e+08  9.41324e+08      69272.1
         0.13        0.145        0.035   4.6698e+06  5.45504e+07  3.18794e+07  3.94112e+07  1.00628e+07  1.84817e+08   2.7019e+08  3.43288e+08  2.31492e+08  5.32871e+08  6.77035e+08      69272.1
         0.13        0.145        0.055  1.70567e+06  3.19671e+07  2.03698e+07  2.53771e+07  7.68336e+06  1.40817e+08  1.84006e+08  2.38596e+08  2.04633e+08  3.62899e+08   4.7056e+08      69272.1
         0.13        0.145        0.075  1.01905e+06  2.51914e+07  1.64641e+07  2.06053e+07  6.63805e+06  1.25766e+08  1.48763e+08  1.92604e+08   1.9194e+08  2.93391e+08  3.79856e+08      69272.1
         0.13        0.145        0.095       595702  1.85902e+07  1.24648e+07  1.56096e+07  5.44106e+06  1.00334e+08  1.09285e+08  1.39939e+08  1.57527e+08  2.15532e+08  2.75989e+08      69272.1
         0.13        0.145        0.115       418047  1.53724e+07  1.02552e+07  1.29462e+07  4.84984e+06  8.68029e+07  8.94181e+07  1.13927e+08  1.36913e+08  1.76351e+08  2.24688e+08      69272.1
